PG.ProteinGroups,20230222_Exp...anual_MixA_TR1,20230222_Exp...anual_MixA_TR2,20230222_Exp...anual_MixA_TR3,20230222_Exp...anual_MixA_TR4,20230222_Exp...anual_MixB_TR1,20230222_Exp...anual_MixB_TR2,20230222_Exp...anual_MixB_TR3,20230222_Exp...anual_MixB_TR4
A0PJW6,16246.422869776565,15784.905891026709,16685.077321325596,18735.705230206106,14355.531476865288,12414.753511799168,15532.036454185798,13183.154262248052
A1X283,6621.3659614920125,6175.2605684376185,6319.005515393571,6628.683889725695,5792.873309619429,5870.551492622345,6020.033637549631,5664.490729631153
A5Z2X5,270030.4197973348,255377.9144115478,250439.3088220881,238487.25059681348,107072.95313327682,106952.5270495028,107589.67302993602,102970.13306135898
L0R6Q1,31094.16946554093,27795.50031675848,29755.62070427341,26191.66596892124,23914.89519165418,22749.815465704905,22023.24712437478,22871.07206458872
L0R8F8,11617.794701436957,12296.678475991635,10715.97725128041,16699.834263951077,8618.927488850262,11483.77481526369,10355.942759877176,10387.002637121472
O00330,9823.64648546536,10624.65877614624,10481.575351164753,10004.436969070715,9040.59689850397,8708.831745455598,8357.038152819923,8150.987003177422
O00458,3035.6819854684286,4027.201979612659,3914.859269317012,4039.31719516856,3032.9497080852984,2283.4250051568742,2717.8847601422153,2109.822997805565
O00487,25136.633519123043,26433.395701349167,25734.191185376247,26915.22019583236,21718.439822162272,21335.804065518856,21920.65925041046,21584.258825979396
O00571,62322.847740620076,60977.50153197469,61372.14404588219,61952.26688802839,52451.533472914605,54390.65138547951,52178.82653615903,53813.454716947585
O00622,6960.430839586912,6992.641219366288,6753.587492451728,6652.533112008274,5285.016302899377,6100.743165098254,5370.444228193823,6248.809048639335
O13516,42004.03824845776,42855.32828767208,40434.18392701025,43890.41511038386,17571.98020296737,17785.07548178852,16900.070346546752,18590.005563968916
O13547,24870.131127649616,23245.570750391787,27541.16146765497,21702.95037000972,8801.724038664048,8411.810557230896,8651.519074717095,9466.557241483064
O14521,49214.32609034847,49070.275838991045,49341.86700534866,51358.12225557736,44134.5834364883,33284.929233530216,35259.855856723814,32667.57832462923
O14561,19756.870726397327,20191.190640082084,18788.606672881517,19367.470225049143,16934.59968017164,16137.321465507386,15052.32762420553,14846.952808283457
O14579,45989.12883294198,46705.57088395827,46212.95559356204,45598.51107426101,39090.09615517096,38423.17660294427,38617.01014174305,38814.448481564395
